,ds,Tmin,Tmax
4135,2023-05-02,12.607204500978055,23.3050366776502
4136,2023-05-03,12.825551572890161,23.18111702820997
4137,2023-05-04,12.64434676441407,23.036715199662158
4138,2023-05-05,12.452758714393767,22.914328046008443
4139,2023-05-06,12.364825795107265,22.720793753477487
4140,2023-05-07,12.371573232433505,22.638327181603543
4141,2023-05-08,12.19592271943253,22.50641072257902
4142,2023-05-09,11.962941422602018,22.277312424824924
4143,2023-05-10,12.226610464429998,22.16684193510506
4144,2023-05-11,12.083622041326727,22.035221027638723
4145,2023-05-12,11.92182188095001,21.924800836735933
4146,2023-05-13,11.854170880236232,21.74235081943283
4147,2023-05-14,11.870894765743543,21.670091572271698
4148,2023-05-15,11.694418424548326,21.547580593306183
4149,2023-05-16,11.449631085973605,21.327222977839753
4150,2023-05-17,11.690661960996152,21.22501791466381
4151,2023-05-18,11.51467527757482,21.101418122610564
4152,2023-05-19,11.31030145764815,20.99903476176714
4153,2023-05-20,11.191578580299602,20.824913296219428
4154,2023-05-21,11.150073528990909,20.761552900847697
4155,2023-05-22,10.909780264717448,20.648778974537954
4156,2023-05-23,10.597342413889976,20.439241207580846
4157,2023-05-24,10.76878097253339,20.349148502830754
4158,2023-05-25,10.523237412126555,20.23911828335488
4159,2023-05-26,10.251350393888648,20.151873061849905
4160,2023-05-27,10.06914176950557,19.994510027294265
4161,2023-05-28,9.970082828545284,19.94951644933436
4162,2023-05-29,9.679939781090999,19.85664059402765
4163,2023-05-30,9.32694715149939,19.668390649714365
4164,2023-05-31,9.46849127009147,19.600772932200343
4165,2023-06-01,9.204815392102043,19.514146791737062
4166,2023-06-02,8.927365718153066,19.450928910862633
4167,2023-06-03,8.752654855000202,19.317872492796763
4168,2023-06-04,8.674314306425192,19.297093823899086
4169,2023-06-05,8.417935363691008,19.2279555360068
4170,2023-06-06,8.111247192946824,19.06257866059712
4171,2023-06-07,8.3108141653088,19.01659431116166
4172,2023-06-08,8.115763559608016,18.950011971280894
4173,2023-06-09,7.916162266115808,18.904936634360453
4174,2023-06-10,7.826918156150984,18.787859867540966
4175,2023-06-11,7.839876630827802,18.780696885470466
4176,2023-06-12,7.678710469903185,18.722678603818213
4177,2023-06-13,7.469150393587556,18.56587046162425
4178,2023-06-14,7.7657369019954094,18.525928608585517
4179,2023-06-15,7.6656029869812885,18.46297026462269
4180,2023-06-16,7.556904798920115,18.41929040304906
4181,2023-06-17,7.552774421055907,18.301649813733018
4182,2023-06-18,7.643463828803079,18.292306694942052
4183,2023-06-19,7.551276836068233,18.230900884004495
4184,2023-06-20,7.400835276850663,18.06996272917452
4185,2023-06-21,7.745859009122877,18.025657478636546
4186,2023-06-22,7.682968572338526,17.95864233184297
4187,2023-06-23,7.600127053139756,17.911768690096252
4188,2023-06-24,7.610595033624658,17.792355084291344
4189,2023-06-25,7.70506767820466,17.783203373147177
4190,2023-06-26,7.606590996517162,17.72446777624112
4191,2023-06-27,7.44080401520912,17.569149194092514
4192,2023-06-28,7.762687164788303,17.533826123110604
4193,2023-06-29,7.670326645286737,17.47949971128181
4194,2023-06-30,7.553312443775783,17.44928584887532
4195,2023-07-01,7.526645149874457,17.35068007522162
4196,2023-07-02,7.582822013685753,17.36656813462663
4197,2023-07-03,7.446700748536706,17.337091914805875
4198,2023-07-04,7.2456893106191105,17.215143313379496
4199,2023-07-05,7.536443452484674,17.217097354964718
4200,2023-07-06,7.418583253779522,17.203662040524467
4201,2023-07-07,7.283047649841526,17.217577682056792
4202,2023-07-08,7.245963321685708,17.165891289892762
4203,2023-07-09,7.3006994447301805,17.230978565816386
4204,2023-07-10,7.1727076575998625,17.25242289803589
4205,2023-07-11,6.989696124457814,17.182523518992834
4206,2023-07-12,7.3083198939888225,17.23704372847592
4207,2023-07-13,7.22789891896996,17.276076220937632
4208,2023-07-14,7.138782668322067,17.341757818066853
4209,2023-07-15,7.156237360921538,17.340558726305193
4210,2023-07-16,7.272526749377559,17.454318442972088
4211,2023-07-17,7.2117850285367595,17.522137308468576
4212,2023-07-18,7.100229761655628,17.495895510020343
4213,2023-07-19,7.492895882012474,17.5910101376053
4214,2023-07-20,7.487400857345215,17.66730709188329
4215,2023-07-21,7.472358578488438,17.766739975920046
4216,2023-07-22,7.561316576908858,17.795680995909812
4217,2023-07-23,7.744886061758377,17.935955977468133
4218,2023-07-24,7.745661942106501,18.026732555560116
4219,2023-07-25,7.688479386898661,18.020033479614693
4220,2023-07-26,8.127186747088617,18.13148584170864
4221,2023-07-27,8.158443835752347,18.221183299255234
4222,2023-07-28,8.170162208637278,18.331393751502667
4223,2023-07-29,8.275461328917054,18.36883786803508
4224,2023-07-30,8.464809603674391,18.515710982633657
4225,2023-07-31,8.46094718574399,18.611557838346585
4226,2023-08-01,8.389137059156262,18.608772560737474
4227,2023-08-02,8.803924435687554,18.723335096543025
4228,2023-08-03,8.802913891667766,18.81566159907495
4229,2023-08-04,8.775181537312104,18.92830159720427
4230,2023-08-05,8.835196948751365,18.96820767948657
4231,2023-08-06,8.974924867756698,19.117750485482826
4232,2023-08-07,8.91870472104106,19.21658870537233
4233,2023-08-08,8.793455742234098,19.217166609809066
4234,2023-08-09,9.155389058363896,19.335450417326786
4235,2023-08-10,9.103737535009067,19.431780973511152
4236,2023-08-11,9.029122028411741,19.548575494543627
4237,2023-08-12,9.047430082866146,19.592603947890435
4238,2023-08-13,9.151878301056216,19.746012633656186
4239,2023-08-14,9.067857541801235,19.848204376533737
4240,2023-08-15,8.923109679682472,19.851347505506453
